,asin,name,author,publisher,pubdate,isbn,star,douban,people
0,B07F63L86S,掌控：开启不疲惫、不焦虑的人生,张展晖, 北京联合出版社,2018年7月16日,9787559622846,4.3,7.6,1586
1,B07TJR1W5L,极简时间：如何从忙乱到时间自由,洛塔尔·赛韦特（Lothar Seiwert）, 机械工业出版社,2019年6月28日,9787111611325,3,6.7,80
2,B07J5P8SN4,太古和其他的时间,奥尔加·托卡尔丘克, 四川人民出版社,2017年12月1日,9787220103735,4.4,8.8,7427
3,B071YVHVCB,步履不停,是枝裕和, 北京联合出版公司,2017年5月5日,9787550297685,4.5,8.7,27941
4,B07JP8TSDX,奈飞文化手册,帕蒂·麦考德, 浙江教育出版社,2018年10月27日,9787553678054,4,8.0,4731
5,B07HRK3KR3,掌控谈话,塔尔·拉兹 克里斯·沃斯, 北京联合出版公司,2018年9月27日,9787559625205,4.4,8.1,1364
6,B07S7P3L91,反套路：复杂世界的简单法则,大卫·迪萨沃, 北京联合出版公司,2019年5月27日,9787559627452,3.8,6.8,203
7,B07HF1B5BL,怦然心动的人生整理魔法,近藤麻理惠, 湖南文艺出版社,2018年9月21日,9787540486822,4.5,8.0,15850
8,B07F2933NM,狄仁杰：大唐狄公案,高罗佩, 北京联合出版公司 ,2018年6月28日,9787559618306,4,7.4,322
9,B07WRX2ZCS,高效休息法 世界精英这样放松大脑,久贺谷亮, 人民邮电出版社有限公司,2019年6月1日,9787115510877,4.8,7.4,1188
10,B07W8LN72D,别让情绪毁了你的努力,剑圣喵大师, 文化发展出版公司,2019年8月7日,9787514226690,4.6,6.4,118
11,B07FLXGKR9,无处停歇,杰米·阿滕贝格, 湖南文艺出版社,2018年7月16日,9787540485085,4.1,6.4,726
12,B07KLWHZX3,文明的冲突与世界秩序的重建,塞缪尔·亨廷顿, 新华出版社,2018年11月19日,9787501190409,4.5,8.6,6576
13,B07BDJT8SX,知更鸟,尤·奈斯博, 湖南文艺出版社,2018年3月15日,9787540483968,4.6,9.2,88198
14,B07BXZ1RXS,四时之诗：蒙曼品最美唐诗,蒙曼, 浙江文艺出版社,2018年4月15日,9787533951665,4,8.2,1155
15,B0084X49V6,史蒂夫·乔布斯传(Steve Jobs:A Biography)(乔布斯唯一正式授权传记中文版）,沃尔特·艾萨克森 (Walter Isaacson), 中信出版社,2012年12月13日,9787508630069,4.6,8.7,49819
16,B07MKM3XSP,小偷家族,是枝裕和, 北京联合出版公司,2018年12月28日,9787559610935,4.3,8.6,11137
17,B07WTYCBQQ,结构是什么？,J· E·戈登, 中信出版社,2019年8月25日,9787521706543,4.7,8.3,283
18,B083BTVDYY,镖人9,许先哲, 江苏凤凰文艺出版社 ,2019年12月31日,,5,,
19,B00AWMGWLW,大数据时代：生活，工作与思维的大变革,维克托·迈尔-舍恩伯格(Viktor Mayer-Schönberger), 浙江人民出版社,2013年1月17日,9787213052545,4.4,7.5,16775
